group,name,c_name,modbus_addr,data_type,scale,unit,min,max,default,access,save_policy,description
protection,Cell over voltage threshold,cell_ovp_mv,0x2100,u16,1,mV,3000,4500,4200,rw,flash,单体过压保护阈值
protection,Cell under voltage threshold,cell_uvp_mv,0x2101,u16,1,mV,1800,3300,2500,rw,flash,单体欠压保护阈值
protection,Charge over current threshold,chg_ocp_dec_a,0x2102,u16,0.1,A,0,2000,500,rw,flash,充电过流保护阈值
protection,Discharge over current threshold,dsg_ocp_dec_a,0x2103,u16,0.1,A,0,3000,1000,rw,flash,放电过流保护阈值
soc,Rated capacity,rated_capacity_mah,0x2200,u32,1,mAh,1000,300000,100000,rw,flash,电池包额定容量
soc,SOC low display hold threshold,soc_low_hold_pct,0x2202,u8,1,%,0,100,5,rw,flash,SOC 低电量显示保持阈值
soc,SOC full voltage anchor,soc_full_anchor_mv,0x2203,u16,1,mV,3300,4500,4100,rw,flash,SOC 满电电压锚点
balance,Balance enable,balance_enable,0x2300,bool,1,enable,0,1,1,rw,flash,均衡功能使能开关
balance,Balance start voltage,balance_start_mv,0x2301,u16,1,mV,3000,4300,3600,rw,flash,均衡启动单体电压阈值
system,Device Modbus address,device_modbus_addr,0x2400,u8,1,addr,1,247,1,rw,flash,设备 Modbus 从站地址
system,Aging duration,aging_duration_hours,0x2401,u16,1,h,0,2000,72,rw,factory,出厂老化目标时长
runtime,Pack voltage monitor,pack_voltage_mv,0xD000,u16,1,mV,0,65535,0,ro,none,实时电池包总压只读值
